add-none,1,100,200,90708,453,0
add-none,1,1000,2000,126058,63,0
add-none,1,10000,20000,306276,15,0
add-none,1,100000,200000,1941280,9,0
add-none,2,100,400,91770,229,0
add-none,2,1000,4000,102427,25,5
add-none,2,10000,40000,724036,18,1899
add-none,2,100000,400000,8189544,20,-16397
add-none,4,100,800,169181,211,0
add-none,4,1000,8000,224941,28,970
add-none,4,10000,80000,2262070,28,-537
add-none,4,100000,800000,21608699,27,-39525
add-none,8,100,1600,314621,196,-23
add-none,8,1000,16000,630413,39,928
add-none,8,10000,160000,6381042,39,195
add-none,8,100000,1600000,62381376,38,-18341
add-none,16,100,3200,528440,165,0
add-none,16,1000,32000,1480571,46,473
add-none,16,10000,320000,15118324,47,698
add-none,16,100000,3200000,152356820,47,-14895
add-yield-none,1,10,20,118713,5935,0
add-yield-none,1,20,40,133810,3345,0
add-yield-none,1,40,80,237015,2962,0
add-yield-none,1,80,160,265768,1661,0
add-yield-none,1,100,200,234546,1172,0
add-yield-none,1,1000,2000,1681677,840,0
add-yield-none,1,10000,20000,14789749,739,0
add-yield-none,1,100000,200000,152526333,762,0
add-yield-none,2,10,40,154936,3873,0
add-yield-none,2,20,80,188510,2356,3
add-yield-none,2,40,160,193188,1207,30
add-yield-none,2,80,320,231933,724,17
add-yield-none,2,100,400,309549,773,-12
add-yield-none,2,1000,4000,1893474,473,16
add-yield-none,2,10000,40000,18228391,455,-437
add-yield-none,2,100000,400000,177731635,444,-393
add-yield-none,4,10,80,197220,2465,5
add-yield-none,4,20,160,196103,1225,22
add-yield-none,4,40,320,221070,690,33
add-yield-none,4,80,640,287460,449,17
add-yield-none,4,100,800,329434,411,49
add-yield-none,4,1000,8000,1990605,248,-35
add-yield-none,4,10000,80000,18948060,236,-358
add-yield-none,4,100000,800000,185655667,232,-6166
add-yield-none,8,10,160,295137,1844,4
add-yield-none,8,20,320,1168194,3650,31
add-yield-none,8,40,640,329834,515,108
add-yield-none,8,80,1280,434732,339,-10
add-yield-none,8,100,1600,408895,255,-25
add-yield-none,8,1000,16000,2323969,145,27
add-yield-none,8,10000,160000,21498908,134,-733
add-yield-none,8,100000,1600000,215290754,134,-4505
add-yield-none,12,10,240,433543,1806,15
add-yield-none,12,20,480,420078,875,110
add-yield-none,12,40,960,470264,489,129
add-yield-none,12,80,1920,578402,301,-68
add-yield-none,12,100,2400,628919,262,9
add-yield-none,12,1000,24000,3153911,131,16
add-yield-none,12,10000,240000,30115882,125,-745
add-yield-none,12,100000,2400000,293085135,122,-6923
add-none,1,10,20,68714,3435,0
add-none,1,20,40,71106,1777,0
add-none,1,40,80,68919,861,0
add-none,1,80,160,69168,432,0
add-none,1,100,200,76393,381,0
add-none,1,1000,2000,185932,92,0
add-none,1,10000,20000,304556,15,0
add-none,1,100000,200000,1999238,9,0
add-none,2,10,40,134024,3350,0
add-none,2,20,80,89215,1115,0
add-none,2,40,160,152729,954,0
add-none,2,80,320,135878,424,0
add-none,2,100,400,79998,199,0
add-none,2,1000,4000,162995,40,0
add-none,2,10000,40000,771693,19,-4178
add-none,2,100000,400000,7646237,19,-22905
add-none,4,10,80,212745,2659,0
add-none,4,20,160,211562,1322,-2
add-none,4,40,320,147564,461,0
add-none,4,80,640,211180,329,0
add-none,4,100,800,177308,221,0
add-none,4,1000,8000,217231,27,681
add-none,4,10000,80000,2415129,30,-663
add-none,4,100000,800000,22552887,28,-20180
add-none,8,10,160,342013,2137,0
add-none,8,20,320,277725,867,0
add-none,8,40,640,286487,447,0
add-none,8,80,1280,324805,253,0
add-none,8,100,1600,252352,157,0
add-none,8,1000,16000,527228,32,11
add-none,8,10000,160000,6678007,41,665
add-none,8,100000,1600000,64786411,40,-20526
add-none,12,10,240,435140,1813,0
add-none,12,20,480,463324,965,0
add-none,12,40,960,359960,374,0
add-none,12,80,1920,390622,203,0
add-none,12,100,2400,426629,177,0
add-none,12,1000,24000,1044239,43,289
add-none,12,10000,240000,10717135,44,210
add-none,12,100000,2400000,106152001,44,-23148
add-m,1,100,200,150473,752,0
add-m,2,100,400,99050,247,0
add-m,4,100,800,226998,283,0
add-m,8,100,1600,332557,207,0
add-m,12,100,2400,401509,167,0
add-c,1,100,200,124594,622,0
add-c,2,100,400,116531,291,0
add-c,4,100,800,158419,198,0
add-c,8,100,1600,330429,206,0
add-c,12,100,2400,440180,183,0
add-s,1,100,200,155222,776,0
add-s,2,100,400,82309,205,0
add-s,4,100,800,185661,232,0
add-s,8,100,1600,296519,185,0
add-s,12,100,2400,412333,171,0
add-m,1,1000,2000,1009361,504,0
add-m,2,1000,4000,358105,89,0
add-m,4,1000,8000,1191000,148,0
add-m,8,1000,16000,3160611,197,0
add-m,12,1000,24000,4967397,206,0
add-c,1,1000,2000,127367,63,0
add-c,2,1000,4000,345345,86,0
add-c,4,1000,8000,901596,112,0
add-c,8,1000,16000,2246439,140,0
add-c,12,1000,24000,3751740,156,0
add-s,1,1000,2000,193545,96,0
add-s,2,1000,4000,361882,90,0
add-s,4,1000,8000,2118076,264,0
add-s,8,1000,16000,7376857,461,0
add-s,12,1000,24000,18965966,790,0
add-m,1,10000,20000,711822,35,0
add-m,2,10000,40000,3150903,78,0
add-m,4,10000,80000,12842061,160,0
add-m,8,10000,160000,29720408,185,0
add-m,12,10000,240000,47412389,197,0
add-c,1,10000,20000,539818,26,0
add-c,2,10000,40000,1875606,46,0
add-c,4,10000,80000,9220322,115,0
add-c,8,10000,160000,20870475,130,0
add-c,12,10000,240000,38812776,161,0
add-yield-m,1,100,200,241018,1205,0
add-yield-m,2,100,400,666014,1665,0
add-yield-m,4,100,800,1347087,1683,0
add-yield-m,8,100,1600,2691155,1681,0
add-yield-m,12,100,2400,4450021,1854,0
add-yield-c,1,100,200,217868,1089,0
add-yield-c,2,100,400,298425,746,0
add-yield-c,4,100,800,329233,411,0
add-yield-c,8,100,1600,509436,318,0
add-yield-c,12,100,2400,649909,270,0
add-yield-s,1,100,200,237784,1188,0
add-yield-s,2,100,400,439118,1097,0
add-yield-s,4,100,800,1280022,1600,0
add-yield-s,8,100,1600,3013289,1883,0
add-yield-s,12,100,2400,5215266,2173,0
add-yield-m,1,1000,2000,1761818,880,0
add-yield-m,2,1000,4000,6757283,1689,0
add-yield-m,4,1000,8000,13327411,1665,0
add-yield-m,8,1000,16000,25772517,1610,0
add-yield-m,12,1000,24000,44081559,1836,0
add-yield-c,1,1000,2000,1827736,913,0
add-yield-c,2,1000,4000,2017727,504,0
add-yield-c,4,1000,8000,2247367,280,0
add-yield-c,8,1000,16000,2920102,182,0
add-yield-c,12,1000,24000,4538957,189,0
add-yield-s,1,1000,2000,1835769,917,0
add-yield-s,2,1000,4000,3720667,930,0
add-yield-s,4,1000,8000,12133472,1516,0
add-yield-s,8,1000,16000,30390789,1899,0
add-yield-s,12,1000,24000,55290033,2303,0
add-yield-m,1,10000,20000,16049302,802,0
add-yield-m,2,10000,40000,48761991,1219,0
add-yield-m,4,10000,80000,134969581,1687,0
add-yield-m,8,10000,160000,267449085,1671,0
add-yield-m,12,10000,240000,412760199,1719,0
add-yield-c,1,10000,20000,16266454,813,0
add-yield-c,2,10000,40000,18770847,469,0
add-yield-c,4,10000,80000,20129437,251,0
add-yield-c,8,10000,160000,28906721,180,0
add-yield-c,12,10000,240000,47948902,199,0
